Order	PID	MS SubClass	MS Zoning	Lot Frontage	Lot Area	Street	Alley	Lot Shape	Land Contour	Utilities	Lot Config	Land Slope	Neighborhood	Condition 1	Condition 2	Bldg Type	House Style	Overall Qual	Overall Cond	Year Built	Year Remod/Add	Roof Style	Roof Matl	Exterior 1st	Exterior 2nd	Mas Vnr Type	Mas Vnr Area	Exter Qual	Exter Cond	Foundation	Bsmt Qual	Bsmt Cond	Bsmt Exposure	BsmtFin Type 1	BsmtFin SF 1	BsmtFin Type 2	BsmtFin SF 2	Bsmt Unf SF	Total Bsmt SF	Heating	Heating QC	Central Air	Electrical	1st Flr SF	2nd Flr SF	Low Qual Fin SF	Gr Liv Area	Bsmt Full Bath	Bsmt Half Bath	Full Bath	Half Bath	Bedroom AbvGr	Kitchen AbvGr	Kitchen Qual	TotRms AbvGrd	Functional	Fireplaces	Fireplace Qu	Garage Type	Garage Yr Blt	Garage Finish	Garage Cars	Garage Area	Garage Qual	Garage Cond	Paved Drive	Wood Deck SF	Open Porch SF	Enclosed Porch	3Ssn Porch	Screen Porch	Pool Area	Pool QC	Fence	Misc Feature	Misc Val	Mo Sold	Yr Sold	Sale Type	Sale Condition	SalePrice
11	0527163010	060	RL	75	10000	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	5	1993	1994	Gable	CompShg	HdBoard	HdBoard	None	0	TA	TA	PConc	Gd	TA	No	Unf	0	Unf	0	763	763	GasA	Gd	Y	SBrkr	763	892	0	1655	0	0	2	1	3	1	TA	7	Typ	1	TA	Attchd	1993	Fin	2	440	TA	TA	Y	157	84	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	175900
12	0527165230	020	RL		7980	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	1Story	6	7	1992	2007	Gable	CompShg	HdBoard	HdBoard	None	0	TA	Gd	PConc	Gd	TA	No	ALQ	935	Unf	0	233	1168	GasA	Ex	Y	SBrkr	1187	0	0	1187	1	0	2	0	3	1	TA	6	Typ	0	NA	Attchd	1992	Fin	2	420	TA	TA	Y	483	21	0	0	0	0	NA	GdPrv	Shed	500	3	2010	WD 	Normal	185000
13	0527166040	060	RL	63	8402	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	5	1998	1998	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	PConc	Gd	TA	No	Unf	0	Unf	0	789	789	GasA	Gd	Y	SBrkr	789	676	0	1465	0	0	2	1	3	1	TA	7	Typ	1	Gd	Attchd	1998	Fin	2	393	TA	TA	Y	0	75	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	180400
14	0527180040	020	RL	85	10176	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	1Story	7	5	1990	1990	Gable	CompShg	HdBoard	HdBoard	None	0	TA	TA	PConc	Gd	TA	Gd	GLQ	637	Unf	0	663	1300	GasA	Gd	Y	SBrkr	1341	0	0	1341	1	0	1	1	2	1	Gd	5	Typ	1	Po	Attchd	1990	Unf	2	506	TA	TA	Y	192	0	0	0	0	0	NA	NA	NA	0	2	2010	WD 	Normal	171500
15	0527182190	120	RL		6820	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	StoneBr	Norm	Norm	TwnhsE	1Story	8	5	1985	1985	Gable	CompShg	HdBoard	HdBoard	None	0	Gd	TA	PConc	Gd	TA	Av	GLQ	368	BLQ	1120	0	1488	GasA	TA	Y	SBrkr	1502	0	0	1502	1	0	1	1	1	1	Gd	4	Typ	0	NA	Attchd	1985	RFn	2	528	TA	TA	Y	0	54	0	0	140	0	NA	NA	NA	0	6	2010	WD 	Normal	212000
16	0527216070	060	RL	47	53504	Pave	NA	IR2	HLS	AllPub	CulDSac	Mod	StoneBr	Norm	Norm	1Fam	2Story	8	5	2003	2003	Hip	CompShg	CemntBd	Wd Shng	BrkFace	603	Ex	TA	PConc	Gd	TA	Gd	ALQ	1416	Unf	0	234	1650	GasA	Ex	Y	SBrkr	1690	1589	0	3279	1	0	3	1	4	1	Ex	12	Mod	1	Gd	BuiltIn	2003	Fin	3	841	TA	TA	Y	503	36	0	0	210	0	NA	NA	NA	0	6	2010	WD 	Normal	538000
17	0527225035	050	RL	152	12134	Pave	NA	IR1	Bnk	AllPub	Inside	Mod	Gilbert	Norm	Norm	1Fam	1.5Fin	8	7	1988	2005	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	Gd	TA	Wood	Gd	TA	Av	GLQ	427	Unf	0	132	559	GasA	Gd	Y	SBrkr	1080	672	0	1752	0	0	2	0	4	1	TA	8	Typ	0	NA	Basment	1988	RFn	2	492	TA	TA	Y	325	12	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	164000
18	0527258010	020	RL	88	11394	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	StoneBr	Norm	Norm	1Fam	1Story	9	2	2010	2010	Hip	CompShg	VinylSd	VinylSd	Stone	350	Gd	TA	PConc	Ex	TA	Av	GLQ	1445	Unf	0	411	1856	GasA	Ex	Y	SBrkr	1856	0	0	1856	1	0	1	1	1	1	Ex	8	Typ	1	Ex	Attchd	2010	Fin	3	834	TA	TA	Y	113	0	0	0	0	0	NA	NA	NA	0	6	2010	New	Partial	394432
19	0527276150	020	RL	140	19138	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	Gilbert	Norm	Norm	1Fam	1Story	4	5	1951	1951	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	CBlock	TA	TA	No	LwQ	120	Unf	0	744	864	GasA	Ex	Y	SBrkr	864	0	0	864	0	0	1	0	2	1	TA	4	Typ	0	NA	Detchd	1951	Unf	2	400	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	141000
20	0527302110	020	RL	85	13175	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NWAmes	Norm	Norm	1Fam	1Story	6	6	1978	1988	Gable	CompShg	Plywood	Plywood	Stone	119	TA	TA	CBlock	Gd	TA	No	ALQ	790	Rec	163	589	1542	GasA	TA	Y	SBrkr	2073	0	0	2073	1	0	2	0	3	1	TA	7	Min1	2	TA	Attchd	1978	Unf	2	500	TA	TA	Y	349	0	0	0	0	0	NA	MnPrv	NA	0	2	2010	WD 	Normal	210000
21	0527358140	020	RL	105	11751	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NWAmes	Norm	Norm	1Fam	1Story	6	6	1977	1977	Hip	CompShg	Plywood	Plywood	BrkFace	480	TA	TA	CBlock	Gd	TA	No	BLQ	705	Unf	0	1139	1844	GasA	Ex	Y	SBrkr	1844	0	0	1844	0	0	2	0	3	1	TA	7	Typ	1	TA	Attchd	1977	RFn	2	546	TA	TA	Y	0	122	0	0	0	0	NA	MnPrv	NA	0	1	2010	COD	Normal	190000
22	0527358200	085	RL	85	10625	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NWAmes	Norm	Norm	1Fam	SFoyer	7	6	1974	1974	Gable	CompShg	Plywood	Plywood	BrkFace	81	TA	TA	CBlock	Gd	TA	Gd	GLQ	885	LwQ	168	0	1053	GasA	TA	Y	SBrkr	1173	0	0	1173	1	0	2	0	3	1	Gd	6	Typ	2	TA	Attchd	1974	RFn	2	528	TA	TA	Y	0	120	0	0	0	0	NA	MnPrv	NA	0	1	2010	WD 	Family	170000
23	0527368020	060	FV		7500	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Somerst	Norm	Norm	1Fam	2Story	7	5	2000	2000	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Gd	TA	No	GLQ	533	Unf	0	281	814	GasA	Ex	Y	SBrkr	814	860	0	1674	1	0	2	1	3	1	Gd	7	Typ	0	NA	Attchd	2000	RFn	2	663	TA	TA	Y	0	96	0	0	0	0	NA	NA	NA	0	1	2010	WD 	Normal	216000
24	0527402200	020	RL		11241	Pave	NA	IR1	Lvl	AllPub	CulDSac	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	7	1970	1970	Gable	CompShg	Wd Sdng	Wd Sdng	BrkFace	180	TA	TA	CBlock	TA	TA	No	ALQ	578	Unf	0	426	1004	GasA	Ex	Y	SBrkr	1004	0	0	1004	1	0	1	0	2	1	TA	5	Typ	1	TA	Attchd	1970	Fin	2	480	TA	TA	Y	0	0	0	0	0	0	NA	NA	Shed	700	3	2010	WD 	Normal	149000
25	0527402250	020	RL		12537	Pave	NA	IR1	Lvl	AllPub	CulDSac	Gtl	NAmes	Norm	Norm	1Fam	1Story	5	6	1971	2008	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	CBlock	TA	TA	No	GLQ	734	Unf	0	344	1078	GasA	Ex	Y	SBrkr	1078	0	0	1078	1	0	1	1	3	1	TA	6	Typ	1	Fa	Attchd	1971	Fin	2	500	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	149900
26	0527403020	020	RL	65	8450	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NAmes	Norm	Norm	1Fam	1Story	5	6	1968	1968	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	CBlock	TA	TA	No	BLQ	775	Unf	0	281	1056	GasA	Ex	Y	SBrkr	1056	0	0	1056	1	0	1	0	3	1	TA	6	Typ	1	Fa	Attchd	1968	Unf	1	304	TA	TA	Y	0	85	184	0	0	0	NA	NA	NA	0	7	2010	WD 	Normal	142000
27	0527404120	020	RL	70	8400	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	4	5	1970	1970	Gable	CompShg	Plywood	Plywood	None	0	TA	TA	CBlock	TA	TA	No	ALQ	804	Rec	78	0	882	GasA	TA	Y	SBrkr	882	0	0	882	1	0	1	0	2	1	TA	4	Typ	0	NA	Attchd	1970	Fin	2	525	TA	TA	Y	240	0	0	0	0	0	NA	MnPrv	NA	0	4	2010	WD 	Normal	126000
28	0527425090	020	RL	70	10500	Pave	NA	Reg	Lvl	AllPub	FR2	Gtl	NAmes	Norm	Norm	1Fam	1Story	4	5	1971	1971	Gable	CompShg	HdBoard	HdBoard	None	0	TA	TA	CBlock	TA	TA	No	ALQ	432	Unf	0	432	864	GasA	TA	Y	SBrkr	864	0	0	864	0	0	1	0	3	1	TA	5	Typ	1	Po	NA		NA	0	0	NA	NA	Y	0	0	0	0	0	0	NA	NA	NA	0	4	2010	ConLI	Normal	115000
29	0527427230	120	RH	26	5858	Pave	NA	IR1	Lvl	AllPub	FR2	Gtl	NAmes	Norm	Norm	TwnhsE	1Story	7	5	1999	1999	Gable	CompShg	MetalSd	MetalSd	None	0	Gd	TA	PConc	Gd	TA	No	GLQ	1051	BLQ	0	354	1405	GasA	Ex	Y	SBrkr	1337	0	0	1337	1	0	2	0	2	1	Gd	5	Typ	1	Fa	Attchd	1999	Fin	2	511	TA	TA	Y	203	68	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	184000
30	0527451180	160	RM	21	1680	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrDale	Norm	Norm	Twnhs	2Story	6	5	1971	1971	Gable	CompShg	HdBoard	HdBoard	BrkFace	504	TA	TA	CBlock	TA	TA	No	Rec	156	Unf	0	327	483	GasA	TA	Y	SBrkr	483	504	0	987	0	0	1	1	2	1	TA	5	Typ	0	NA	Detchd	1971	Unf	1	264	TA	TA	Y	275	0	0	0	0	0	NA	NA	NA	0	2	2010	COD	Normal	96000
31	0527451330	160	RM	21	1680	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrDale	Norm	Norm	Twnhs	2Story	5	5	1971	1971	Gable	CompShg	HdBoard	HdBoard	BrkFace	492	TA	TA	CBlock	TA	TA	No	Rec	300	Unf	0	225	525	GasA	TA	Y	SBrkr	525	567	0	1092	0	0	1	1	3	1	TA	6	Typ	0	NA	Detchd	1997	Unf	1	320	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	3	2010	WD 	Normal	105500
32	0527451410	160	RM	21	1680	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrDale	Norm	Norm	Twnhs	2Story	6	5	1971	1971	Gable	CompShg	HdBoard	ImStucc	BrkFace	381	TA	TA	CBlock	TA	TA	No	Unf	0	Unf	0	525	525	GasA	TA	Y	SBrkr	525	567	0	1092	0	0	1	1	3	1	TA	6	Typ	0	NA	Detchd	1971	Unf	1	264	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	3	2010	WD 	Family	88000
33	0527452190	120	RL	53	4043	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NPkVill	Norm	Norm	TwnhsE	1Story	6	5	1977	1977	Gable	CompShg	Plywood	Plywood	None	0	TA	TA	CBlock	Gd	TA	No	ALQ	360	Unf	0	709	1069	GasA	TA	Y	SBrkr	1069	0	0	1069	0	0	2	0	2	1	TA	4	Typ	1	Fa	Attchd	1977	RFn	2	440	TA	TA	Y	0	55	0	0	165	0	NA	NA	NA	0	7	2010	WD 	Normal	127500
34	0527453130	160	RL	24	2280	Pave	NA	Reg	Lvl	AllPub	FR2	Gtl	NPkVill	Norm	Norm	Twnhs	2Story	6	6	1975	1975	Gable	CompShg	Plywood	Brk Cmn	None	0	TA	TA	CBlock	TA	TA	No	ALQ	514	Unf	0	341	855	GasA	TA	Y	SBrkr	855	601	0	1456	0	0	2	1	3	1	Gd	6	Typ	1	TA	Attchd	1975	Unf	2	440	TA	TA	Y	173	0	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	149900
35	0527453150	120	RL	24	2280	Pave	NA	Reg	Lvl	AllPub	FR2	Gtl	NPkVill	Norm	Norm	Twnhs	1Story	7	6	1975	1975	Gable	CompShg	Plywood	Brk Cmn	None	0	TA	TA	CBlock	Gd	TA	No	Unf	0	Unf	0	836	836	GasA	Ex	Y	SBrkr	836	0	0	836	0	0	1	0	2	1	TA	4	Typ	0	NA	Attchd	1975	Unf	1	308	TA	TA	Y	0	30	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	120000
36	0527454200	160	RL	24	2280	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NPkVill	Norm	Norm	Twnhs	2Story	6	5	1978	1978	Gable	CompShg	Plywood	Brk Cmn	None	0	TA	TA	CBlock	Gd	TA	No	ALQ	311	Unf	0	544	855	GasA	Fa	Y	SBrkr	855	601	0	1456	0	0	2	1	3	1	TA	7	Typ	1	TA	Attchd	1978	Unf	2	440	TA	TA	Y	26	0	0	0	0	0	NA	NA	NA	0	7	2010	WD 	Normal	146000
37	0528108120	060	RL	102	12858	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	2Story	9	5	2009	2010	Gable	CompShg	VinylSd	VinylSd	Stone	162	Ex	TA	PConc	Ex	TA	No	Unf	0	Unf	0	1590	1590	GasA	Ex	Y	SBrkr	1627	707	0	2334	0	0	2	1	3	1	Ex	10	Typ	1	Gd	Attchd	2009	Fin	3	751	TA	TA	Y	144	133	0	0	0	0	NA	NA	NA	0	1	2010	New	Partial	376162
38	0528112020	020	RL	98	11478	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2007	2008	Gable	CompShg	VinylSd	VinylSd	Stone	200	Gd	TA	PConc	Ex	TA	No	GLQ	1218	Unf	0	486	1704	GasA	Ex	Y	SBrkr	1704	0	0	1704	1	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2008	RFn	3	772	TA	TA	Y	0	50	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	306000
39	0528120060	020	RL	83	10159	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2009	2010	Hip	CompShg	VinylSd	VinylSd	Stone	450	Ex	TA	PConc	Ex	TA	Av	GLQ	1646	Unf	0	284	1930	GasA	Ex	Y	SBrkr	1940	0	0	1940	1	0	2	1	3	1	Ex	8	Typ	1	Gd	Attchd	2010	Fin	3	606	TA	TA	Y	168	95	0	0	0	0	NA	NA	NA	0	4	2010	New	Partial	395192
40	0528120090	020	RL	94	12883	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2009	2010	Gable	CompShg	VinylSd	VinylSd	Stone	256	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1544	1544	GasA	Ex	Y	SBrkr	1544	0	0	1544	0	0	2	0	3	1	Gd	7	Typ	0	NA	Attchd	2009	RFn	3	868	TA	TA	Y	0	35	0	0	0	0	NA	NA	NA	0	6	2010	New	Partial	290941
41	0528120100	020	RL	95	12182	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	7	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	BrkFace	226	Gd	TA	PConc	Gd	TA	Mn	BLQ	1201	Unf	0	340	1541	GasA	Ex	Y	SBrkr	1541	0	0	1541	0	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2005	RFn	2	532	TA	TA	Y	0	70	0	0	0	0	NA	NA	NA	0	5	2010	New	Partial	220000
42	0528120120	020	RL	90	11520	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	PosN	Norm	1Fam	1Story	9	5	2005	2005	Hip	CompShg	VinylSd	VinylSd	BrkFace	615	Gd	TA	PConc	Ex	TA	No	GLQ	110	Unf	0	1588	1698	GasA	Ex	Y	SBrkr	1698	0	0	1698	0	0	2	0	3	1	Ex	7	Typ	1	Gd	Attchd	2005	Fin	3	730	TA	TA	Y	192	74	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	275000
43	0528138020	020	RL	79	14122	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2005	2006	Hip	CompShg	CemntBd	CmentBd	BrkFace	240	Gd	TA	PConc	Ex	TA	No	GLQ	28	Unf	0	1794	1822	GasA	Ex	Y	SBrkr	1822	0	0	1822	0	0	2	0	3	1	Ex	8	Typ	1	Gd	Attchd	2005	RFn	3	678	TA	TA	Y	0	119	0	0	0	0	NA	NA	NA	0	2	2010	WD 	Normal	259000
44	0528138060	020	RL	70	10171	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	7	5	2004	2004	Gable	CompShg	VinylSd	VinylSd	BrkFace	168	Gd	TA	PConc	Gd	TA	No	GLQ	2	Unf	0	1515	1517	GasA	Ex	Y	SBrkr	1535	0	0	1535	0	0	2	0	3	1	Gd	7	Typ	0	NA	Attchd	2004	RFn	2	532	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	3	2010	WD 	Normal	214000
45	0528150070	020	RL	100	12919	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2009	2010	Hip	CompShg	VinylSd	VinylSd	Stone	760	Ex	TA	PConc	Ex	TA	Gd	GLQ	2188	Unf	0	142	2330	GasA	Ex	Y	SBrkr	2364	0	0	2364	1	0	2	1	2	1	Ex	11	Typ	2	Gd	Attchd	2009	Fin	3	820	TA	TA	Y	0	67	0	0	0	0	NA	NA	NA	0	3	2010	New	Partial	611657
46	0528175010	120	RL	44	6371	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	TwnhsE	1Story	7	5	2009	2010	Gable	CompShg	VinylSd	VinylSd	Stone	128	Gd	TA	PConc	Gd	TA	Mn	GLQ	733	Unf	0	625	1358	GasA	Ex	Y	SBrkr	1358	0	0	1358	1	0	2	0	2	1	Gd	6	Typ	1	Gd	Attchd	2010	RFn	2	484	TA	TA	Y	192	35	0	0	0	0	NA	NA	NA	0	6	2010	New	Partial	224000
47	0528176010	020	RL	110	14300	Pave	NA	Reg	HLS	AllPub	Inside	Mod	NridgHt	Norm	Norm	1Fam	1Story	9	5	2003	2004	Hip	CompShg	VinylSd	VinylSd	BrkFace	1095	Ex	TA	PConc	Ex	TA	Gd	GLQ	1373	Unf	0	1473	2846	GasA	Ex	Y	SBrkr	2696	0	0	2696	1	0	2	1	3	1	Ex	10	Typ	2	Gd	Attchd	2003	Fin	3	958	TA	TA	Y	220	150	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	500000
48	0528176070	060	RL	105	13650	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	2Story	8	5	2002	2002	Gable	CompShg	VinylSd	VinylSd	BrkFace	232	Gd	TA	PConc	Gd	TA	Gd	GLQ	578	Unf	0	1093	1671	GasA	Ex	Y	SBrkr	1687	563	0	2250	1	0	2	1	3	1	Gd	7	Typ	1	Ex	Attchd	2002	Fin	3	756	TA	TA	Y	238	130	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	320000
